"iso3c","your_country_eez","other_country_eez","your_country_entity","other_country_entity"
"ALB",29669.4131272406,0,29669.4131272406,NA
"DZA",226132.270151892,12607.3731160081,226132.270151892,854.498916608531
"AGO",887616.837103762,568831.83013859,887616.837103762,17443.487860118
"ARG",2262549.64097093,0,2262549.64097093,NA
"ABW",0,0.00168458562230415,NA,NA
"AUS",183746.336003672,0.0308063643521607,183746.336003672,NA
"BGD",827153.841300862,2100.14973399332,827153.841300862,NA
"BEL",1035.74034566612,7633.18394254635,1035.74034566612,41689.4793279089
"BRA",640930.772637355,0.218559209309497,640930.772637355,NA
"BRN",28257.9771822342,5967.31841390356,28257.9771822342,NA
"BGR",0.652199438335655,1666.6666665,0.652199438335655,0.574800561664345
"KHM",570659.821465639,86948.5350881043,570659.821465639,105550.406086027
"CMR",63128.3526795847,66799.1857426837,63128.3526795847,22476.4848595892
"CAN",740807.473122683,93646.101213923,740807.473122683,38947.4373077725
"CPV",0,7.75925870726941,NA,228751.795560004
"CHL",42669.7475938608,0,42669.7475938608,31559.7114596559
"CHN",21943623.5595032,2378494.88340716,21943623.5595032,18194134.1859498
"COL",0,0.000473945637798676,NA,NA
"COG",5616.51214909046,309727.663766925,5616.51214909046,5984.65461533838
"CIV",22818.9209614998,495447.016451231,22818.9209614998,4200.42345958177
"HRV",73328.5861695828,0,73328.5861695828,8.45814190831915
"CYP",3370.36632841328,0.01,3370.36632841328,NA
"DNK",217874.881845991,141911.019809527,217874.881845991,908264.09494758
"DJI",0,78.7955921091141,NA,NA
"EGY",225102.668627138,0,225102.668627138,156446.439538905
"GNQ",12418.5604588389,62727.8876645647,12418.5604588389,NA
"ERI",0,23656.7297516379,NA,NA
"EST",4460.14072327999,8021.43087866796,4460.14072327999,6563.5305593474
"FRO",239835.980013861,55034.9849855345,239835.980013861,88543.996908328
"FLK",303260.874454569,314945.559287253,303260.874454569,NA
"FJI",0,0.0280141749838785,NA,NA
"FIN",0,16745.6743847793,NA,NA
"FRA",283729.324255779,70676.9244087849,283729.324255779,391072.109001395
"GAB",140151.300641178,218356.097933137,140151.300641178,NA
"GMB",3834.04622610009,71051.0856962577,3834.04622610009,1396.01
"PSE",0,361.298186246597,NA,NA
"GEO",58166.0090028257,25443.2783591915,58166.0090028257,NA
"DEU",16367.0186772336,211784.295310859,16367.0186772336,197629.058993764
"GHA",195013.342589805,19252.2812542357,195013.342589805,31.0981839559456
"GRC",106670.179109434,473.174750771829,106670.179109434,148102.593228062
"GRL",343911.523321278,103937.263689677,343911.523321278,36588.0638380287
"GIN",250132.435400498,2120574.86731962,250132.435400498,12731.0098707282
"GNB",0,2912399.2240947,NA,NA
"HKG",7437.7822010297,0,7437.7822010297,2249303.91192888
"ISL",1075736.63397144,30993.3256024292,1075736.63397144,16672.0031523262
"IND",10708593.5369321,6300.44920197995,10708593.5369321,126680.5377663
"IDN",12247546.930438,601252.548506177,12247546.930438,NA
"IRQ",4652.33232497819,0,4652.33232497819,NA
"IRL",43834.1935342844,736110.104180537,43834.1935342844,22820.105090393
"ISR",7638.8834073883,0,7638.8834073883,NA
"ITA",316961.057566357,1918.17979365778,316961.057566357,313659.029211597
"JPN",1997580.76935075,6021315.83841397,1997580.76935075,1518639.92247712
"KIR",0,0.0552388371097455,NA,NA
"KOR",2321336.40690594,2786571.42188224,2321336.40690594,1327701.45436331
"LVA",0,14701.5795857494,NA,1274.3273546711
"LBR",0,106307.12420951,NA,NA
"LBY",38273.9461014916,11206.5043498563,38273.9461014916,NA
"LTU",0,7990.50047545994,NA,26815.6671516365
"MYS",3239634.51718544,34225.5860394181,3239634.51718544,152694.848099654
"MLT",0.0164435483655433,4168.7212716322,0.0164435483655433,254549.018194303
"MHL",0,0.102799049604,NA,NA
"MRT",186938.827555448,60236.8720216611,186938.827555448,37308.576335703
"MUS",2184.80071899337,0,2184.80071899337,NA
"MEX",59891.4695169246,0,59891.4695169246,NA
"MNE",2612.79162877734,0.105819940550763,2612.79162877734,NA
"MAR",5827680.3483988,4705050.93153994,5827680.3483988,NA
"MMR",3176604.99605908,47253.3690148497,3176604.99605908,NA
"NAM",887096.032447777,1531458.294565,887096.032447777,NA
"NRU",0,0.00898806923040563,NA,NA
"NLD",162786.904795954,152742.375388582,162786.904795954,514450.690605761
"NZL",1077288.60966955,381907.070895057,1077288.60966955,NA
"NGA",184238.385621249,33.4661000840305,184238.385621249,NA
"MNP",0,58331.2913516646,NA,NA
"NOR",1758733.96269543,537195.23013717,1758733.96269543,1708858.78739637
"PAK",0,18.081887944397,NA,NA
"PLW",0,0.0260324773785989,NA,NA
"PNG",0,0.0644060254661893,NA,NA
"PER",503207,30076.1574778054,503207,NA
"PHL",363442.483145994,116550.400930724,363442.483145994,79484.2414888868
"POL",0,35591.1556877357,NA,941949.912001079
"PRT",225609.3545299,506.192322681805,225609.3545299,64255.1840729881
"ROU",0,1667.24146706166,NA,NA
"RUS",876545.541078695,2709962.44515731,876545.541078695,1217332.58639886
"SPM",1070.166251198,0.00348439822582307,1070.166251198,11981.215231747
"SAU",74301.7109187009,0,74301.7109187009,NA
"SEN",356255.937184344,291470.85964327,356255.937184344,312039.694183558
"SLE",1615.84615384615,610880.772567405,1615.84615384615,253447.263342142
"SVN",284.801,0,284.801,NA
"SLB",0,0.0491805234649338,NA,NA
"SOM",0,396952.7457833,NA,NA
"ZAF",749685.997933613,0,749685.997933613,7079.83494375669
"SGS",0,58.17087,NA,NA
"ESP",645694.747331221,16779.9162195279,645694.747331221,2710770.57006947
"LKA",0,126680.5377663,NA,NA
"SJM",0,280381.205267294,NA,NA
"SWE",77089.9742645861,42973.5377725482,77089.9742645861,240701.496754325
"SYR",5432.16081216478,0,5432.16081216478,NA
"TWN",198763.669455366,8.73914487229576,198763.669455366,351268.713136461
"THA",2962880.08587872,221.000361925584,2962880.08587872,591330.434258189
"TGO",605.729167799739,127812.744477333,605.729167799739,13338.4431683623
"TKL",0,0.000478730297349862,NA,NA
"TON",0,0.00487418355690615,NA,NA
"TTO",10386.642855569,6724.5320003732,10386.642855569,1391.95506817976
"TUN",138688.564901334,22904.9979659576,138688.564901334,377.777777777778
"TUR",610970.630410471,0,610970.630410471,22089.0586590789
"TUV",0,0.0364147456315995,NA,NA
"UKR",119552.515521612,1666.6666665,119552.515521612,140808.550854952
"GBR",509261.527877924,1850680.97436277,509261.527877924,126473.128992962
"URY",212126.412975052,0,212126.412975052,NA
"USA",3558449.4667924,389339.503635172,3558449.4667924,72826.9601172178
"VUT",0,0.0235496943214475,NA,1697.30795098324
"VEN",2432,1391.9599514505,2432,6724.5320003732
"VNM",12273391.1200622,1657236.47112044,12273391.1200622,1478.732
"YEM",18747.88737261,59173.6844691068,18747.88737261,39239.2547738315
